222,Mexico,Red Bull Racing,3,RICCIARDO Daniel,RB12,TAG Heuer,Pirelli,4,3,
223,Brazil,Red Bull Racing,3,RICCIARDO Daniel,RB12,TAG Heuer,Pirelli,6,8,
224,Abu Dhabi,Red Bull Racing,3,RICCIARDO Daniel,RB12,TAG Heuer,Pirelli,3,5,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,5,5,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,16,3,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,6,ab,Brakes
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,7,5,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,5,ab,Collision
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,4,5,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,5,ab,Electrics
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,5,ab,Engine
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,5,ab,Collision
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,4,4,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,5,5,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,5,ab,Power loss
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,13,10,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,2,ab,Collision
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,3,1,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,4,2,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,16,4,5s penalty
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,2,1,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,4,5,
Red Bull Racing,33,VERSTAPPEN Max,RB13,TAG Heuer,Pirelli,6,5,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,4,6,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,15,ab,Differential
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,5,5,10s penalty
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,5,ab,Collision
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,5,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,20,9,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,3,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,4,2,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,4,1,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,5,15,Brakes
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,4,4,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,7,ab,Power loss
