n,Grand Prix,Team,N°,Driver,Model,Engine,Tyre,Grid,Race
Red Bull Racing,33,VERSTAPPEN Max,RB12,TAG Heuer,Pirelli,3,4,5s penalty
Red Bull Racing,33,VERSTAPPEN Max,RB12,TAG Heuer,Pirelli,4,3,
Red Bull Racing,33,VERSTAPPEN Max,RB12,TAG Heuer,Pirelli,6,4,
n,Grand Prix,Team,N°,Driver,Model,Engine,Tyre,Grid,Race
225,Australia,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,15,ab,Engine
,,,,,,,,,,
226,China,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,5,4,
227,Bahrain,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,4,5,
228,Russia,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,5,ab,Brakes
229,Spain,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,6,3,
230,Monaco,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,5,3,
231,Canada,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,6,3,
232,Azerbaijan,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,10,1,
233,Austria,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,4,3,
234,Britain,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,19,5,
235,Hungary,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,6,ab,Collision
236,Belgium,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,6,3,
237,Italy,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,16,4,
238,Singapore,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,3,2,
239,Malaysia,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,4,3,
240,Japan,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,3,3,
241,USA,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,4,ab,Engine
242,Mexico,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,16,ab,Turbo
243,Brazil,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,14,6,
244,Abu Dhabi,Red Bull Racing,3,RICCIARDO Daniel,RB13,TAG Heuer,Pirelli,4,ab,Hydraulics
n,Grand Prix,Team,N°,Driver,Model,Engine,Tyre,Grid,Race
245,Australia,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,8,4,
,,,,,,,,,,
246,Bahrain,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,4,ab,Electrics
247,China,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,6,1,
248,Azerbaijan,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,4,ab,Collision
249,Spain,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,6,5,
250,Monaco,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,1,1,
251,Canada,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,6,4,
252,France,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,5,4,
253,Austria,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,7,ab,Exhaust
254,Britain,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,6,5,
255,Germany,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,19,ab,Power loss
256,Hungary,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,12,4,
257,Belgium,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,8,ab,Withdrew
258,Italy,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,19,ab,Clutch
259,Singapore,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,6,6,
260,Russia,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,18,6,
261,Japan,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,15,4,
262,USA,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,4,ab,Battery
263,Mexico,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,1,ab,Clutch
264,Brazil,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,11,4,
265,Abu Dhabi,Aston Martin Red Bull Racing,3,RICCIARDO Daniel,RB14,TAG Heuer,Pirelli,5,4,
n,Grand Prix,Team,N°,Driver,Model,Engine,Tyre,Grid,Race
266,Australia,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,17,11,
,,,,,,,,,,
267,Bahrain,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,13,8,
268,China,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,6,6,
269,Azerbaijan,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,20,ab,Drive shaft
270,Spain,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,6,6,
271,Monaco,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,8,5,
272,Canada,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,5,8,
273,France,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,9,10,
274,Austria,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,8,7,
275,Britain,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,5,4,
276,Germany,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,4,14,Collision
277,Hungary,Aston Martin Red Bull Racing,10,GASLY Pierre,RB15,Honda,Pirelli,6,6,
278,Belgium,Aston Martin Red Bull Racing,23,ALBON Alexander,RB15,Honda,Pirelli,17,5,
279,Italy,Aston Martin Red Bull Racing,23,ALBON Alexander,RB15,Honda,Pirelli,8,6,
280,Singapore,Aston Martin Red Bull Racing,23,ALBON Alexander,RB15,Honda,Pirelli,6,6,
281,Russia,Aston Martin Red Bull Racing,23,ALBON Alexander,RB15,Honda,Pirelli,20,5,
282,Japan,Aston Martin Red Bull Racing,23,ALBON Alexander,RB15,Honda,Pirelli,6,4,
283,Mexico,Aston Martin Red Bull Racing,23,ALBON Alexander,RB15,Honda,Pirelli,5,5,
284,USA,Aston Martin Red Bull Racing,23,ALBON Alexander,RB15,Honda,Pirelli,6,5,
285,Brazil,Aston Martin Red Bull Racing,23,ALBON Alexander,RB15,Honda,Pirelli,5,14,
286,Abu Dhabi,Aston Martin Red Bull Racing,23,ALBON Alexander,RB15,Honda,Pirelli,5,6,
n,Grand Prix,Team,N°,Driver,Model,Engine,Tyre,Grid,Race
287,Austria,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,4,13,Electronics
,,,,,,,,,,
288,Styria,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,6,4,
